,code,name,py,3,4,jz,day1,week1,month1,month3,month6,year1,year2,year3,year0,yearall,1,2,3
29,161024,富国中证军工指数分级,FGZZJGZSFJ,2019-08-30,1.2220,1.6090,2.0033,4.4445,3.7352,8.5258,5.8009,14.5545,-12.3583,-28.0772,28.4964,24.5658,2014-04-04,1,-7.1098
30,519176,浦银安盛消费升级混合C,PYASXFSJHHC,2019-08-30,1.6720,1.6720,0.9053,4.4347,7.8710,14.2077,20.0288,25.4314,-2.2222,3.5294,46.9245,20.2878,2016-01-21,1,20.2878
31,001795,上投摩根文体休闲灵活配置混合,STMGWTXXLHPZHH,2019-08-30,0.92,0.92,-0.1086,4.4268,9.6544,16.6033,14.7132,3.1390,-12.4643,-2.9536,37.7246,-8,2015-12-23,1,-8
32,519125,浦银安盛消费升级混合A,PYASXFSJHHA,2019-08-30,1.6750,1.6750,0.9036,4.4264,7.8558,14.1786,19.8140,25.1868,-2.5029,3.5229,46.6725,67.50,2013-12-04,1,43.1624
33,163115,申万菱信中证军工指数分级,SWLXZZJGZSFJ,2019-08-30,1.0894,1.4762,1.9465,4.4187,4.0298,9.7668,6.9197,17.0630,-11.2022,-25.6725,29.4679,8.9015,2014-07-24,1,-1.0256
34,161810,银华内需精选混合(LOF),YHNXJXHHLOF,2019-08-30,1.8360,1.7460,-0.3257,4.3775,5.6995,12.7072,19.2982,44.7950,1.1013,7.2430,67.5182,83.60,2009-07-01,1,110.0686
35,002983,长信国防军工量化混合,CXGFJGLHHH,2019-08-30,0.8053,0.8053,2.2863,4.3540,7.2161,11.2139,10.3302,16.9474,-9.6995,,34.7331,-19.47,2017-01-05,1,-19.47
36,006675,宝盈品牌消费股票A,BYPPXFGPA,2019-08-30,1.0948,1.0948,0.7918,4.3362,4.3760,,,,,,,9.48,2019-06-06,1,9.48
37,006676,宝盈品牌消费股票C,BYPPXFGPC,2019-08-30,1.0927,1.0927,0.7840,4.3150,4.3051,,,,,,,9.27,2019-06-06,1,9.27
38,000598,长盛生态环境混合,CSSTHJHH,2019-08-30,1.7550,1.7550,-1.3491,4.2781,2.7518,6.8168,9.1418,16.8442,13.8871,20.5357,29.6160,75.50,2014-09-10,1,75.5
39,519019,大成景阳领先混合,DCJYLXHH,2019-08-30,0.6840,4.1430,-1.5827,4.2682,-5.3942,-5,-4.0674,-4.8679,-12.4534,3.7798,11.4006,11.3790,2007-12-11,1,62.9637
40,162209,泰达宏利市值优选混合,TDHLSZYXHH,2019-08-30,0.9211,0.9211,1.0532,4.2440,9.2127,18.7291,27.1009,36.9258,9.9690,15.6725,53.2867,-7.89,2007-08-03,1,15.0368
41,320022,诺安研究精选股票,NAYJJXGP,2019-08-30,1.2140,2.1090,0.9144,4.1166,4.9265,12.9302,25.2838,32.9682,25.6728,27.3872,50.8075,110.9151,2012-12-10,1,74.1661
42,161725,招商中证白酒指数分级,ZSZZBJZSFJ,2019-08-30,1.0299,2.1457,2.3757,4.1039,8.8689,20.6934,48.3130,54.3319,73.9104,158.9288,88.9925,157.0029,2015-05-27,1,157.0029
43,260108,景顺长城新兴成长混合,JSCCXXCZHH,2019-08-30,1.8220,3.3590,1.5042,4.0548,4.2334,14.2320,38.2397,55.1959,73.5708,113.0433,68.3919,367.0810,2006-06-28,1,194.7867
44,005106,银华农业产业股票发起式,YHNYCYGPFQS,2019-08-30,1.3626,1.3626,0.4719,4.0391,4.3578,8.7557,32.6519,59.4430,,,71.2885,36.26,2017-09-28,1,36.26
45,164402,前海开源中航军工,QHKYZHJG,2019-08-30,1.0570,0.7340,1.3423,4.0354,3.8311,8.2992,5.4891,16.8524,-14.6477,-28.3754,30.8133,-28.1513,2015-03-30,1,-28.1513
46,003017,广发中证军工ETF联接A,GFZZJGETFLJA,2019-08-30,0.8004,0.8004,1.7285,3.9886,4.3955,9.9904,7.4940,18.0705,-7.8835,,30.3583,-19.96,2016-09-26,1,-19.96
47,005693,广发中证军工ETF联接C,GFZZJGETFLJC,2019-08-30,0.8013,0.8013,1.7265,3.9704,4.3631,9.9026,7.5138,17.9770,,,30.3138,12.1013,2018-02-13,1,12.1013
48,000248,汇添富中证主要消费ETF联接,HTFZZZYXFETFLJ,2019-08-30,2.0485,2.0485,1.2155,3.9320,5.1322,12.1605,35.5187,48.4420,61.8472,105.3428,65.2949,104.85,2015-03-24,1,104.85
49,166301,华商新趋势优选灵活配置混合,HSXQSYXLHPZHH,2019-08-30,2.9980,2.9980,0.1002,3.9168,8.1920,11.0782,13.9924,24.3467,37.0201,38.8606,42.6261,199.80,2012-09-06,1,135.1373
50,501019,国泰国证航天军工指数,GTGZHTJGZS,2019-08-30,0.8307,0.8307,1.5898,3.9024,5.3519,13.2052,12.1507,22.1977,-4.2531,,38.1507,-16.93,2017-03-29,1,-16.93
51,004224,南方军工改革灵活配置混合,NFJGGGLHPZHH,2019-08-30,0.7694,0.7694,1.5174,3.8607,4.7515,11.1528,8.6110,21.6827,-18.2359,,32.7467,-23.06,2017-03-08,1,-23.06
52,005812,鹏华产业精选,PHCYJX,2019-08-30,1.1919,1.1919,2.1162,3.8512,9.9539,24.6236,41.8422,38.0792,,,71.1271,19.19,2018-05-09,1,19.19
53,000535,长盛航天海工装备灵活配置混合,CSHTHGZBLHPZHH,2019-08-30,0.9550,1.47,2.0299,3.8044,2.2484,7.0628,1.5957,8.8940,-8.0847,-13.5746,15.7576,46.6627,2014-03-11,1,20.6108
54,519172,浦银安盛睿智精选混合A,PYASRZJXHHA,2019-08-30,1.1260,1.1260,0.6256,3.7788,6.2264,12.4875,15.9629,23.0601,-3.9249,2.4568,45.2903,12.60,2016-02-03,1,12.6
55,090013,大成竞争优势混合,DCJZYSHH,2019-08-30,1.0730,2.0830,-1.5596,3.7718,-5.3792,-6.2882,-4.5374,-4.3672,-11.7599,9.2112,12.8286,116.6595,2011-04-20,1,81.7104
56,007300,国联安中证半导体ETF联接A,GLAZZBDTETFLJA,2019-08-30,1.1507,1.1507,0.4101,3.7602,8.8339,,,,,,,15.0585,2019-06-26,1,15.0585
57,007301,国联安中证半导体ETF联接C,GLAZZBDTETFLJC,2019-08-30,1.1490,1.1490,0.4107,3.7472,8.7554,,,,,,,14.8885,2019-06-26,1,14.8885
58,002560,诺安和鑫灵活配置混合,NAHXLHPZHH,2019-08-30,0.7925,0.7925,-1.2092,3.7439,11.0411,15.6934,2.9488,-12.0519,-21.6123,-21.3009,11.6826,-20.75,2016-04-28,1,-20.75
59,519173,浦银安盛睿智精选混合C,PYASRZJXHHC,2019-08-30,1.0910,1.0910,0.5530,3.7072,6.1284,12.2428,15.4497,22.0358,-5.5411,0,44.5033,9.10,2016-02-03,1,9.1
60,000969,前海开源大安全混合,QHKYDAQHH,2019-08-30,1.0990,1.0990,1.4774,3.6792,5.6731,12.9496,9.7902,12.4872,8.4896,-6.1486,24.4621,9.90,2015-02-06,1,9.9
61,310368,申万菱信竞争优势混合,SWLXJZYSHH,2019-08-30,1.2224,2.2384,0.7749,3.6108,5.1889,11.2486,13.9236,22.7925,5.6906,19.82,35.7468,150.2867,2008-07-04,1,51.1703
62,213008,宝盈资源优选混合,BYZYYXHH,2019-08-30,1.4340,2.3560,1.0073,3.5753,1.4575,12.3912,22.5432,24.4360,4.0714,-23.8975,48.8015,122.0209,2008-04-15,1,18.6714
63,002259,鹏华健康环保混合,PHJKHBHH,2019-08-30,1.3380,1.3380,0.6015,3.5604,7.1257,13.2938,16.8559,17.3684,9.1354,30.7918,38.3661,33.80,2016-01-20,1,33.8
64,002697,中欧消费主题股票C,ZOXFZTGPC,2019-08-30,1.6580,1.6580,-0.8373,3.5603,0.1813,5.2698,29.1277,38.0516,50.1812,64.3211,54.9533,65.80,2016-07-22,1,65.8
65,006560,华夏四川国改ETF联接A,HXSCGGETFLJA,2019-08-30,1.0195,1.0195,0.9206,3.5341,4.0094,8.3652,1.7465,,,,,1.95,2019-01-22,1,1.95
